# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.297, 3.967, 0.59, 0.598, 0.694, 0.197
0.268, 4.487, 0.507, 0.591, 0.719, 0.072
0.195, 5.505, 0.458, 0.599, 0.739, 0.188
0.207, 4.752, 0.338, 0.537, 0.785, 0.201
0.264, 4.602, 0.4, 0.612, 0.723, 0.227
0.32, 3.657, 0.58, 0.692, 0.681, 0.452
0.157, 4.297, 0.157, 0.677, 0.792, 0.469
0.311, 4.251, 0.423, 0.596, 0.721, 0.466
0.257, 4.158, 0.346, 0.573, 0.76, 0.351
0.214, 3.797, 0.395, 0.511, 0.756, 0.428
0.385, 4.248, 0.551, 0.606, 0.682, 0.385
0.259, 4.654, 0.283, 0.539, 0.746, 0.341
0.265, 3.948, 0.477, 0.48, 0.713, 0.448
0.208, 4.415, 0.336, 0.612, 0.782, 0.363
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.207, 4.849, 0.258, 0.541, 0.759, 0.356
0.098, 4.369, 0.163, 0.607, 0.863, 0.077
0.298, 4.257, 0.436, 0.516, 0.715, 0.121
0.157, 4.933, 0.157, 0.437, 0.803, 0.15
0.202, 3.758, 0.352, 0.544, 0.778, 0.497
0.15, 4.746, 0.157, 0.544, 0.818, 0.123
0.165, 4.285, 0.259, 0.528, 0.774, 0.332
0.203, 4.525, 0.249, 0.708, 0.8, 0.048
0.309, 4.458, 0.274, 0.633, 0.777, 0.481
0.274, 5.021, 0.168, 0.446, 0.741, 0.325
0.196, 4.114, 0.114, 0.663, 0.808, 0.271
0.161, 4.013, 0.227, 0.511, 0.81, 0.254
0.25, 4.038, 0.264, 0.58, 0.753, 0.262
0.234, 4.518, 0.294, 0.587, 0.79, 0.358
0.31, 5.046, 0.396, 0.597, 0.708, 0.192
0.333, 3.509, 0.527, 0.795, 0.699, 0.468
0.29, 4.799, 0.449, 0.643, 0.722, 0.122
0.253, 4.653, 0.448, 0.379, 0.726, 0.2
0.205, 4.348, 0.209, 0.621, 0.808, 0.356
0.339, 4.405, 0.608, 0.515, 0.651, 0.372
0.286, 3.86, 0.45, 0.693, 0.72, 0.382
0.117, 4.274, 0.218, 0.703, 0.837, 0.012
0.196, 4.795, 0.121, 0.55, 0.808, 0.309
0.236, 4.94, 0.36, 0.637, 0.73, 0.233
0.255, 4.819, 0.272, 0.463, 0.755, 0.373
0.351, 4.119, 0.549, 0.596, 0.682, 0.29
0.305, 4.877, 0.505, 0.656, 0.71, 0.024
0.307, 4.0, 0.379, 0.655, 0.709, 0.479
0.314, 4.987, 0.471, 0.433, 0.68, 0.091
0.368, 4.801, 0.436, 0.567, 0.675, 0.238
0.32, 4.228, 0.438, 0.636, 0.695, 0.411
0.078, 4.179, 0.135, 0.525, 0.821, 0.365
0.226, 4.316, 0.191, 0.642, 0.799, 0.422
0.157, 4.933, 0.157, 0.437, 0.803, 0.15
0.283, 4.569, 0.226, 0.49, 0.744, 0.331
0.169, 4.383, 0.271, 0.592, 0.816, 0.264
0.377, 4.358, 0.618, 0.584, 0.646, 0.427
0.167, 5.146, 0.166, 0.407, 0.775, 0.191
0.183, 4.142, 0.154, 0.71, 0.847, 0.075
0.185, 3.917, 0.163, 0.547, 0.828, 0.409
0.311, 3.941, 0.361, 0.608, 0.723, 0.458
0.194, 3.919, 0.312, 0.573, 0.766, 0.401
0.262, 4.404, 0.355, 0.544, 0.746, 0.17
0.138, 5.31, 0.119, 0.492, 0.812, 0.075
0.239, 4.058, 0.147, 0.506, 0.784, 0.409
1.122, 4.223, 1.208, 0.652, 0.423, 0.002
0.239, 4.058, 0.147, 0.506, 0.784, 0.409
0.396, 3.569, 0.637, 0.65, 0.674, 0.416
0.286, 3.86, 0.45, 0.693, 0.72, 0.382
1.05, 4.303, 1.155, 0.637, 0.445, 0.01
0.173, 4.819, 0.185, 0.518, 0.802, 0.261
0.154, 4.288, 0.198, 0.572, 0.839, 0.115
0.317, 4.641, 0.335, 0.461, 0.72, 0.402
0.184, 3.775, 0.354, 0.559, 0.784, 0.477
0.17, 4.047, 0.166, 0.489, 0.829, 0.305
0.216, 3.65, 0.416, 0.452, 0.771, 0.02
