# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
1.097, 4.071, 0.896, 0.875, 8.038, 0.417, 0.028
1.136, 4.579, 0.881, 0.814, 6.053, 0.398, 0.428
1.577, 4.06, 0.798, 0.747, 5.553, 0.331, 0.285
0.851, 3.354, 0.709, 0.952, 9.307, 0.483, 0.459
0.992, 3.881, 0.725, 0.803, 8.002, 0.442, 0.11
0.327, 4.194, 0.343, 0.783, 6.282, 0.673, 0.093
0.581, 3.751, 0.35, 0.941, 9.085, 0.564, 0.346
0.649, 4.02, 0.639, 0.889, 5.775, 0.559, 0.267
0.462, 4.043, 0.399, 0.816, 5.865, 0.614, 0.059
0.438, 4.022, 0.31, 0.822, 6.915, 0.611, 0.412
0.965, 4.055, 0.985, 0.765, 4.502, 0.446, 0.102
0.562, 3.001, 0.289, 1.031, 9.744, 0.591, 0.144
0.447, 4.336, 0.5, 0.707, 4.354, 0.634, 0.095
0.321, 3.86, 0.394, 0.805, 6.628, 0.648, 0.284
0.19, 5.413, 0.458, 0.315, 2.322, 0.765, 0.401
0.359, 3.378, 0.21, 0.981, 8.519, 0.669, 0.292
1.075, 3.749, 0.889, 0.931, 5.782, 0.456, 0.331
0.985, 4.559, 0.58, 0.822, 9.128, 0.431, 0.003
0.6, 3.718, 0.38, 0.929, 6.759, 0.591, 0.428
0.662, 4.36, 0.515, 0.912, 9.656, 0.503, 0.398
1.759, 3.415, 0.899, 0.984, 8.383, 0.338, 0.103
1.695, 3.756, 0.819, 0.927, 9.641, 0.337, 0.305
0.465, 3.513, 0.314, 0.957, 7.943, 0.631, 0.445
1.315, 4.465, 0.817, 0.938, 9.846, 0.375, 0.082
0.129, 4.13, 0.306, 0.348, 2.351, 0.794, 0.447
0.224, 3.99, 0.342, 0.646, 3.583, 0.749, 0.085
0.113, 7.759, 0.379, 0.5, 1.771, 0.844, 0.146
0.485, 4.454, 0.218, 0.688, 6.719, 0.611, 0.376
0.667, 4.169, 0.678, 0.998, 9.415, 0.539, 0.041
0.854, 4.451, 0.613, 0.909, 9.831, 0.46, 0.002
0.477, 3.226, 0.419, 1.017, 6.13, 0.666, 0.455
0.658, 3.673, 0.453, 0.812, 7.153, 0.538, 0.437
1.167, 4.751, 0.762, 0.889, 8.929, 0.386, 0.03
0.231, 3.888, 0.319, 0.667, 3.378, 0.757, 0.085
0.755, 4.256, 0.642, 0.847, 7.346, 0.501, 0.269
0.599, 3.937, 0.528, 0.857, 5.889, 0.55, 0.487
0.362, 3.684, 0.181, 0.879, 6.655, 0.697, 0.175
0.404, 3.69, 0.41, 1.07, 8.32, 0.665, 0.137
0.456, 4.311, 0.388, 0.875, 6.388, 0.587, 0.123
0.148, 4.637, 0.359, 0.406, 2.674, 0.779, 0.09
0.756, 4.436, 0.738, 0.749, 7.016, 0.48, 0.318
1.464, 4.026, 0.904, 0.875, 9.244, 0.348, 0.296
1.388, 3.664, 0.95, 0.799, 5.568, 0.361, 0.368
0.29, 4.318, 0.339, 0.698, 4.424, 0.704, 0.082
0.748, 4.492, 0.416, 0.777, 7.981, 0.506, 0.475
0.422, 4.631, 0.3, 0.774, 7.962, 0.613, 0.204
0.628, 3.683, 0.541, 0.874, 7.981, 0.534, 0.369
0.596, 3.465, 0.537, 0.837, 6.017, 0.582, 0.463
0.773, 3.784, 0.557, 0.883, 7.848, 0.504, 0.386
0.234, 8.821, 0.459, 0.434, 1.542, 0.747, 0.089
0.148, 5.84, 0.371, 0.358, 1.889, 0.805, 0.46
0.626, 4.568, 0.618, 0.742, 5.384, 0.557, 0.461
0.373, 3.898, 0.221, 0.888, 7.333, 0.68, 0.088
0.252, 3.63, 0.32, 0.505, 2.483, 0.792, 0.041
0.338, 4.188, 0.577, 0.793, 4.209, 0.661, 0.437
0.108, 4.376, 0.163, 0.358, 2.467, 0.841, 0.344
1.712, 3.422, 0.857, 0.922, 6.987, 0.323, 0.294
1.376, 3.703, 0.688, 0.943, 9.951, 0.374, 0.476
0.315, 4.493, 0.429, 0.453, 3.193, 0.682, 0.13
0.548, 3.999, 0.518, 0.897, 6.818, 0.571, 0.342
0.939, 4.588, 0.746, 0.849, 7.025, 0.444, 0.432
1.243, 3.993, 0.861, 1.028, 8.905, 0.404, 0.044
0.221, 4.936, 0.469, 0.388, 2.131, 0.754, 0.044
0.26, 4.019, 0.384, 0.56, 2.756, 0.742, 0.151
0.626, 4.127, 0.461, 0.903, 6.987, 0.578, 0.074
0.341, 4.191, 0.608, 0.723, 4.012, 0.685, 0.136
0.552, 3.546, 0.619, 0.859, 5.402, 0.575, 0.44
