# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.196, 3.021, 0.547, 0.521, 0.552, 0.478
0.124, 3.853, 0.3, 0.637, 0.574, 0.459
0.1, 4.115, 0.217, 0.596, 0.614, 0.244
0.059, 4.093, 0.287, 0.612, 0.596, 0.239
0.091, 4.026, 0.376, 0.499, 0.592, 0.324
0.092, 4.553, 0.175, 0.418, 0.617, 0.17
0.134, 3.872, 0.362, 0.617, 0.578, 0.426
0.099, 3.822, 0.325, 0.509, 0.585, 0.316
0.073, 3.481, 0.292, 0.387, 0.597, 0.456
0.094, 3.79, 0.32, 0.523, 0.598, 0.348
0.175, 3.8, 0.44, 0.642, 0.559, 0.372
0.072, 3.851, 0.279, 0.528, 0.615, 0.235
0.129, 3.905, 0.443, 0.548, 0.569, 0.301
0.158, 4.219, 0.483, 0.559, 0.571, 0.283
0.102, 3.629, 0.104, 0.434, 0.618, 0.311
0.072, 3.923, 0.126, 0.541, 0.616, 0.262
0.079, 3.544, 0.38, 0.484, 0.584, 0.16
0.099, 3.492, 0.297, 0.634, 0.581, 0.468
0.145, 3.672, 0.475, 0.656, 0.569, 0.421
0.135, 4.548, 0.366, 0.594, 0.588, 0.252
0.085, 3.856, 0.272, 0.447, 0.601, 0.342
0.175, 4.023, 0.43, 0.574, 0.586, 0.329
0.095, 4.333, 0.225, 0.559, 0.603, 0.051
0.116, 3.371, 0.448, 0.543, 0.571, 0.42
0.131, 3.751, 0.392, 0.619, 0.588, 0.123
0.097, 4.08, 0.229, 0.378, 0.595, 0.34
0.12, 3.985, 0.314, 0.496, 0.589, 0.115
0.135, 3.744, 0.456, 0.571, 0.545, 0.475
0.129, 4.029, 0.292, 0.436, 0.583, 0.173
0.061, 3.709, 0.12, 0.662, 0.64, 0.349
0.196, 4.283, 0.409, 0.564, 0.586, 0.248
0.111, 3.303, 0.293, 0.533, 0.594, 0.262
0.061, 3.557, 0.147, 0.695, 0.614, 0.152
0.067, 3.909, 0.174, 0.426, 0.607, 0.401
0.123, 3.872, 0.51, 0.606, 0.595, 0.08
0.068, 3.901, 0.302, 0.662, 0.59, 0.246
0.068, 3.716, 0.376, 0.653, 0.599, 0.089
0.071, 4.123, 0.15, 0.484, 0.639, 0.105
0.08, 4.153, 0.313, 0.408, 0.575, 0.184
0.121, 3.415, 0.375, 0.388, 0.568, 0.286
0.106, 4.536, 0.469, 0.575, 0.611, 0.09
0.07, 3.759, 0.114, 0.536, 0.612, 0.187
0.072, 3.842, 0.242, 0.592, 0.593, 0.366
0.052, 3.81, 0.271, 0.466, 0.604, 0.214
0.153, 4.137, 0.263, 0.48, 0.605, 0.218
0.122, 3.444, 0.386, 0.506, 0.564, 0.371
